,Predictions
2022-01-23,2555.6029345703123
2022-01-24,2654.8756748046876
2022-01-25,3669.9325
2022-01-26,3902.1875659179686
2022-01-27,4230.8719150390625
2022-01-28,2594.723427734375
2022-01-29,2824.899087158203
2022-01-30,3002.182151855469
2022-01-31,2815.4970100097657
2022-02-01,4396.7399609375
2022-02-02,3156.218331542969
2022-02-03,2352.8732895507815
2022-02-04,2858.2203676757813
2022-02-05,2693.838070800781
2022-02-06,2777.2495673828125
2022-02-07,2497.281955810547
2022-02-08,2786.354600830078
2022-02-09,2699.4897529296877
2022-02-10,2981.9844182128904
2022-02-11,3812.7275927734377
2022-02-12,3688.581164550781
2022-02-13,4441.122171875
2022-02-14,2840.9844067382815
2022-02-15,2503.660580566406
2022-02-16,2572.2213251953126
2022-02-17,3918.143255371094
2022-02-18,2731.577321777344
2022-02-19,2977.6634541015624
2022-02-20,2753.568283691406
2022-02-21,3000.63787109375
2022-02-22,4224.873276367188
2022-02-23,2362.864333496094
2022-02-24,2783.024153564453
2022-02-25,3272.652387207031
2022-02-26,2685.8695620117187
2022-02-27,3110.968088378906
2022-02-28,3153.666630859375
2022-03-01,4401.0838359375
2022-03-02,3917.1543217773437
2022-03-03,4353.883565429687
2022-03-04,3431.351796875
2022-03-05,2380.37101171875
2022-03-06,2443.4651860351564
2022-03-07,2883.5187907714844
2022-03-08,2837.842619628906
2022-03-09,2979.4145102539064
2022-03-10,3006.2934423828124
2022-03-11,2767.2159443359374
2022-03-12,3426.29098046875
2022-03-13,2968.0715302734375
2022-03-14,3515.1868095703126
2022-03-15,3739.165517578125
2022-03-16,3668.1113813476563
2022-03-17,2675.6095166015625
2022-03-18,2637.5598662109373
2022-03-19,3136.7181171875
2022-03-20,2834.95298828125
2022-03-21,2580.2948330078125
2022-03-22,4398.1257265625
2022-03-23,2315.6817397460936
2022-03-24,2799.5419700520833
2022-03-25,4378.97303125
2022-03-26,2749.643684082031
2022-03-27,2703.332293457031
2022-03-28,4139.440879394531
2022-03-29,4465.054706054688
2022-03-30,3230.8507045898436
2022-03-31,2621.3378779296877
2022-04-01,2707.330090576172
2022-04-02,2943.670855957031
2022-04-03,2495.0107822265627
2022-04-04,2924.60505875651
2022-04-05,3631.3149663085937
2022-04-06,2345.3842705078123
2022-04-07,2913.340547363281
2022-04-08,2697.896009765625
2022-04-09,2281.61058984375
2022-04-10,3032.9237021484373
